variant,method,fusion_ratio_lambda,encoder_seed,probe_seed,selected_learning_rate,selected_epoch,validation_grid_mean_iou,validation_input_224_mean_iou,test_grid_mean_iou,test_input_224_mean_iou,test_input_224_foreground_iou,test_input_224_background_iou,test_input_224_foreground_dice,test_input_224_pixel_accuracy,official_test_evaluations,scientific_result
ibkd_lambda_0.25,ibkd,0.25,3,1,0.03,76,0.7379160501268136,0.7921158336042018,0.7451522844861931,0.8028544428270499,0.7461905370151932,0.8595183486389064,0.8546496172069231,0.9005799249377756,1,True
ibkd_lambda_0.25,ibkd,0.25,3,2,0.1,88,0.7385409337177969,0.7922845756329571,0.7443347273107304,0.8018212152584852,0.7443104183285681,0.8593320121884022,0.8534150922996616,0.9001989068745789,1,True
ibkd_lambda_0.25,ibkd,0.25,3,3,0.01,49,0.7378038493399945,0.7920794729463224,0.7463756079387418,0.8036726309440163,0.7482556431974908,0.8590896186905417,0.8560025487221773,0.9006852014369106,1,True
ibkd_lambda_0.25,ibkd,0.25,3,4,0.01,66,0.738103103471362,0.7926422371565853,0.7455452828266222,0.8035873652298853,0.7463790824365294,0.860795648023241,0.8547732733894056,0.9012499377980565,1,True
ibkd_lambda_0.25,ibkd,0.25,3,5,0.01,73,0.7381869543124479,0.7927520215018795,0.746346211662059,0.8042624586944678,0.7479737406177833,0.8605511767711521,0.855818051767103,0.9013702635290815,1,True
ibkd_lambda_0.5,ibkd,0.5,1,1,0.01,73,0.721462663993462,0.7758870590015625,0.7263258816939103,0.7829706010950082,0.7202351828236125,0.8457060193664039,0.83736827384429,0.8895706686383018,1,True
ibkd_lambda_0.5,ibkd,0.5,1,2,0.03,82,0.7216952218068824,0.7756397315880108,0.7261413448385471,0.7822940946341941,0.7185153906131897,0.8460727986551984,0.8362047783078784,0.8894926231978584,1,True
ibkd_lambda_0.5,ibkd,0.5,1,3,0.03,84,0.7214400963878413,0.7762402266280928,0.7259409003933968,0.7824867482023414,0.7182854640434365,0.8466880323612462,0.8360490489783704,0.8897748613233409,1,True
ibkd_lambda_0.5,ibkd,0.5,1,4,0.01,61,0.7219111828229752,0.7768602113424359,0.726887116490675,0.7831520864516418,0.7217768753988121,0.8445272975044715,0.8384093034489479,0.8892118342576689,1,True
ibkd_lambda_0.5,ibkd,0.5,1,5,0.01,51,0.7222297675189411,0.7777160398515721,0.727104912870587,0.7832169146400525,0.7225443529223998,0.8438894763577053,0.8389268487589999,0.889010948687786,1,True
ibkd_lambda_0.5,ibkd,0.5,2,1,0.01,69,0.7298674106293401,0.7863736170809121,0.7380812221526949,0.7956604237221769,0.7363423170630866,0.8549785303812671,0.848153396743291,0.8967830099250303,1,True
ibkd_lambda_0.5,ibkd,0.5,2,2,0.03,81,0.7302854601405331,0.7857326838975156,0.7380250061715845,0.794773316877843,0.734885279946598,0.8546613538090879,0.8471860225469419,0.8963991925808401,1,True
ibkd_lambda_0.5,ibkd,0.5,2,3,0.01,62,0.7299262082563224,0.7860053843532928,0.7373058744081777,0.7939665008141243,0.7336126987854688,0.85432030284278,0.8463397843121728,0.8960316011574532,1,True
ibkd_lambda_0.5,ibkd,0.5,2,4,0.01,61,0.731174771690787,0.7874015167341866,0.7388419846534384,0.7956573709742083,0.7364873648150203,0.8548273771333963,0.8482496098017676,0.8967287336006337,1,True
ibkd_lambda_0.5,ibkd,0.5,2,5,0.01,35,0.7304830750723822,0.7869609829795847,0.7371338682413436,0.7941321542782791,0.7343474858203224,0.8539168227362359,0.8468285528986553,0.8959388161400968,1,True
ibkd_lambda_0.5,ibkd,0.5,3,1,0.1,81,0.754016630840977,0.807438337461486,0.757135906705471,0.8139860449623806,0.7593631017301943,0.8686089881945669,0.8632249942986991,0.9071193859591348,1,True
ibkd_lambda_0.5,ibkd,0.5,3,2,0.01,73,0.754118111227813,0.8074436620958347,0.7575107049866294,0.8143747110965104,0.7593730405483067,0.8693763816447141,0.8632314160181163,0.9075049869159935,1,True
ibkd_lambda_0.5,ibkd,0.5,3,3,0.01,68,0.7539371410383495,0.8070358518834253,0.7575273049039453,0.8141608495580268,0.7590056351190868,0.8693160639969667,0.8629939779217378,0.9074204758796268,1,True
ibkd_lambda_0.5,ibkd,0.5,3,4,0.1,90,0.7538148161075393,0.8073222275421348,0.7580608550750936,0.8144207695556576,0.7600837201817378,0.8687578189295775,0.8636904159345956,0.907301165816927,1,True
ibkd_lambda_0.5,ibkd,0.5,3,5,0.01,73,0.7538587526112156,0.8077135202471593,0.7583922393943543,0.8147369720248685,0.7609937780929531,0.868480165956784,0.8642776454520606,0.9072993202732631,1,True
